,,SA-17 Location-3,,,,,,,,,,,SA-17 Location-2,,,,,,,,,,,,,SA-17 Location-1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mean,Std,Upper ,Lower,,,,,,,,Mean,Std,Upper ,Lower,,,,,,,,,,Mean,Std,Upper ,Lower
5,5,0,3,5,3.6,2.19089023,5.79089023,1.40910977,,,2,0,0,0,0,0.4,0.894427191,1.294427191,-0.494427191,,,,,18,0,0,0,0,3.6,8.049844719,11.64984472,-4.449844719
5,5,0,4,6,4,2.34520788,6.34520788,1.65479212,,,2,0,0,0,0,0.4,0.894427191,1.294427191,-0.494427191,,,,,17,0,0,0,0,3.4,7.602631123,11.00263112,-4.202631123
4,4,0,4,5,3.4,1.949358869,5.349358869,1.450641131,,,2,0,0,0,0,0.4,0.894427191,1.294427191,-0.494427191,,,,,16,0,0,0,0,3.2,7.155417528,10.35541753,-3.955417528
5,4,0,4,3,3.2,1.923538406,5.123538406,1.276461594,,,2,0,0,0,0,0.4,0.894427191,1.294427191,-0.494427191,,,,,14,0,0,0,0,2.8,6.260990337,9.060990337,-3.460990337
4,5,0,4,3,3.2,1.923538406,5.123538406,1.276461594,,,0,0,0,0,0,0,0,0,0,,,,,13,0,0,0,0,2.6,5.813776741,8.413776741,-3.213776741
4,4,0,3,3,2.8,1.643167673,4.443167673,1.156832327,,,0,0,0,0,0,0,0,0,0,,,,,11,0,0,0,0,2.2,4.91934955,7.11934955,-2.71934955
5,5,0,3,4,3.4,2.073644135,5.473644135,1.326355865,,,0,0,0,0,0,0,0,0,0,,,,,10,0,0,0,0,2,4.472135955,6.472135955,-2.472135955
4,4,0,3,4,3,1.732050808,4.732050808,1.267949192,,,0,0,0,0,0,0,0,0,0,,,,,8,0,0,0,0,1.6,3.577708764,5.177708764,-1.977708764
4,4,0,3,4,3,1.732050808,4.732050808,1.267949192,,,0,0,0,0,0,0,0,0,0,,,,,8,0,0,0,0,1.6,3.577708764,5.177708764,-1.977708764
4,5,0,3,5,3.4,2.073644135,5.473644135,1.326355865,,,0,0,0,0,0,0,0,0,0,,,,,8,0,0,0,0,1.6,3.577708764,5.177708764,-1.977708764
4,4,0,3,5,3.2,1.923538406,5.123538406,1.276461594,,,0,0,0,0,0,0,0,0,0,,,,,8,0,0,0,0,1.6,3.577708764,5.177708764,-1.977708764
4,4,0,3,4,3,1.732050808,4.732050808,1.267949192,,,0,0,0,0,0,0,0,0,0,,,,,8,0,0,0,0,1.6,3.577708764,5.177708764,-1.977708764
4,5,0,3,5,3.4,2.073644135,5.473644135,1.326355865,,,0,0,0,0,0,0,0,0,0,,,,,7,0,0,0,0,1.4,3.130495168,4.530495168,-1.730495168
4,3,0,3,6,3.2,2.167948339,5.367948339,1.032051661,,,0,0,0,0,0,0,0,0,0,,,,,5,0,0,0,0,1,2.236067977,3.236067977,-1.236067977
4,4,0,4,6,3.6,2.19089023,5.79089023,1.40910977,,,0,0,0,0,0,0,0,0,0,,,,,5,0,0,0,0,1,2.236067977,3.236067977,-1.236067977
4,4,0,4,6,3.6,2.19089023,5.79089023,1.40910977,,,0,0,0,0,0,0,0,0,0,,,,,4,0,0,0,0,0.8,1.788854382,2.588854382,-0.988854382
4,4,0,4,5,3.4,1.949358869,5.349358869,1.450641131,,,0,0,0,0,0,0,0,0,0,,,,,4,0,0,0,0,0.8,1.788854382,2.588854382,-0.988854382
3,4,0,5,5,3.4,2.073644135,5.473644135,1.326355865,,,0,0,0,0,0,0,0,0,0,,,,,4,0,0,0,0,0.8,1.788854382,2.588854382,-0.988854382
3,4,0,5,3,3,1.870828693,4.870828693,1.129171307,,,0,0,0,0,0,0,0,0,0,,,,,4,0,0,0,0,0.8,1.788854382,2.588854382,-0.988854382
4,3,0,5,3,3,1.870828693,4.870828693,1.129171307,,,0,0,0,0,0,0,0,0,0,,,,,4,0,0,0,0,0.8,1.788854382,2.588854382,-0.988854382
4,4,0,4,4,3.2,1.788854382,4.988854382,1.411145618,,,0,0,0,0,0,0,0,0,0,,,,,19,0,0,0,0,3.8,8.497058314,12.29705831,-4.697058314
3,5,0,3,4,3,1.870828693,4.870828693,1.129171307,,,0,0,0,0,0,0,0,0,0,,,,,18,0,0,0,0,3.6,8.049844719,11.64984472,-4.449844719
3,5,0,3,4,3,1.870828693,4.870828693,1.129171307,,,0,0,0,0,0,0,0,0,0,,,,,16,0,0,0,0,3.2,7.155417528,10.35541753,-3.955417528
3,5,0,3,5,3.2,2.049390153,5.249390153,1.150609847,,,0,0,0,0,0,0,0,0,0,,,,,15,0,0,0,0,3,6.708203932,9.708203932,-3.708203932
3,4,0,3,6,3.2,2.167948339,5.367948339,1.032051661,,,0,0,0,0,0,0,0,0,0,,,,,13,0,0,0,0,2.6,5.813776741,8.413776741,-3.213776741
4,4,0,4,6,3.6,2.19089023,5.79089023,1.40910977,,,0,0,0,0,0,0,0,0,0,,,,,12,0,0,0,0,2.4,5.366563146,7.766563146,-2.966563146
4,4,0,5,6,3.8,2.28035085,6.08035085,1.51964915,,,0,0,0,0,0,0,0,0,0,,,,,10,0,0,0,0,2,4.472135955,6.472135955,-2.472135955
6,4,0,6,6,4.4,2.607680962,7.007680962,1.792319038,,,0,0,0,0,0,0,0,0,0,,,,,9,0,0,0,0,1.8,4.024922359,5.824922359,-2.224922359
6,4,0,6,6,4.4,2.607680962,7.007680962,1.792319038,,,0,0,0,0,0,0,0,0,0,,,,,8,0,0,0,0,1.6,3.577708764,5.177708764,-1.977708764
5,4,0,6,5,4,2.34520788,6.34520788,1.65479212,,,0,0,0,0,0,0,0,0,0,,,,,7,0,0,0,0,1.4,3.130495168,4.530495168,-1.730495168
5,4,0,5,5,3.8,2.167948339,5.967948339,1.632051661,,,0,0,0,0,0,0,0,0,0,,,,,5,0,0,0,0,1,2.236067977,3.236067977,-1.236067977
3,2,0,5,6,3.2,2.387467277,5.587467277,0.812532723,,,0,0,0,0,0,0,0,0,0,,,,,4,0,0,0,0,0.8,1.788854382,2.588854382,-0.988854382
3,2,0,5,6,3.2,2.387467277,5.587467277,0.812532723,,,0,0,0,0,0,0,0,0,0,,,,,4,0,0,0,0,0.8,1.788854382,2.588854382,-0.988854382
3,2,0,5,5,3,2.121320344,5.121320344,0.878679656,,,0,0,0,0,0,0,0,0,0,,,,,19,0,0,0,0,3.8,8.497058314,12.29705831,-4.697058314
3,0,0,5,5,2.6,2.50998008,5.10998008,0.09001992,,,0,0,0,0,0,0,0,0,0,,,,,18,0,0,0,0,3.6,8.049844719,11.64984472,-4.449844719
4,0,0,4,5,2.6,2.408318916,5.008318916,0.191681084,,,0,0,0,0,0,0,0,0,0,,,,,17,0,0,0,0,3.4,7.602631123,11.00263112,-4.202631123
4,0,0,3,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,16,0,0,0,0,3.2,7.155417528,10.35541753,-3.955417528
4,0,0,3,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,14,0,0,0,0,2.8,6.260990337,9.060990337,-3.460990337
3,0,0,3,6,2.4,2.50998008,4.90998008,-0.10998008,,,0,0,0,0,0,0,0,0,0,,,,,11,0,0,0,0,2.2,4.91934955,7.11934955,-2.71934955
4,0,0,4,6,2.8,2.683281573,5.483281573,0.116718427,,,0,0,0,0,0,0,0,0,0,,,,,10,0,0,0,0,2,4.472135955,6.472135955,-2.472135955
4,0,0,4,6,2.8,2.683281573,5.483281573,0.116718427,,,0,0,0,0,0,0,0,0,0,,,,,8,0,0,0,0,1.6,3.577708764,5.177708764,-1.977708764
3,0,0,4,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,8,0,0,0,0,1.6,3.577708764,5.177708764,-1.977708764
3,0,0,4,3,2,1.870828693,3.870828693,0.129171307,,,0,0,0,0,0,0,0,0,0,,,,,7,0,0,0,0,1.4,3.130495168,4.530495168,-1.730495168
3,0,0,4,3,2,1.870828693,3.870828693,0.129171307,,,0,0,0,0,0,0,0,0,0,,,,,5,0,0,0,0,1,2.236067977,3.236067977,-1.236067977
3,0,0,4,3,2,1.870828693,3.870828693,0.129171307,,,0,0,0,0,0,0,0,0,0,,,,,5,0,0,0,0,1,2.236067977,3.236067977,-1.236067977
3,0,0,4,3,2,1.870828693,3.870828693,0.129171307,,,0,0,0,0,0,0,0,0,0,,,,,4,0,0,0,0,0.8,1.788854382,2.588854382,-0.988854382
4,0,0,3,4,2.2,2.049390153,4.249390153,0.150609847,,,0,0,0,0,0,0,0,0,0,,,,,19,0,0,0,0,3.8,8.497058314,12.29705831,-4.697058314
4,0,0,3,4,2.2,2.049390153,4.249390153,0.150609847,,,0,0,0,0,0,0,0,0,0,,,,,18,0,0,0,0,3.6,8.049844719,11.64984472,-4.449844719
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,16,0,0,0,0,3.2,7.155417528,10.35541753,-3.955417528
3,0,0,3,5,2.2,2.167948339,4.367948339,0.032051661,,,0,0,0,0,0,0,0,0,0,,,,,15,0,0,0,0,3,6.708203932,9.708203932,-3.708203932
3,0,0,4,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,13,0,0,0,0,2.6,5.813776741,8.413776741,-3.213776741
3,0,0,4,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,12,0,0,0,0,2.4,5.366563146,7.766563146,-2.966563146
4,0,0,4,5,2.6,2.408318916,5.008318916,0.191681084,,,0,0,0,0,0,0,0,0,0,,,,,10,0,0,0,0,2,4.472135955,6.472135955,-2.472135955
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,9,0,0,0,0,1.8,4.024922359,5.824922359,-2.224922359
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,7,0,0,0,0,1.4,3.130495168,4.530495168,-1.730495168
3,0,0,3,5,2.2,2.167948339,4.367948339,0.032051661,,,0,0,0,0,0,0,0,0,0,,,,,7,0,0,0,0,1.4,3.130495168,4.530495168,-1.730495168
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,6,0,0,0,0,1.2,2.683281573,3.883281573,-1.483281573
5,0,0,3,6,2.8,2.774887385,5.574887385,0.025112615,,,0,0,0,0,0,0,0,0,0,,,,,6,0,0,0,0,1.2,2.683281573,3.883281573,-1.483281573
5,0,0,4,6,3,2.828427125,5.828427125,0.171572875,,,0,0,0,0,0,0,0,0,0,,,,,3,0,0,0,0,0.6,1.341640786,1.941640786,-0.741640786
5,0,0,4,6,3,2.828427125,5.828427125,0.171572875,,,0,0,0,0,0,0,0,0,0,,,,,3,0,0,0,0,0.6,1.341640786,1.941640786,-0.741640786
5,0,0,4,6,3,2.828427125,5.828427125,0.171572875,,,0,0,0,0,0,0,0,0,0,,,,,2,0,0,0,0,0.4,0.894427191,1.294427191,-0.494427191
5,0,0,4,5,2.8,2.588435821,5.388435821,0.211564179,,,0,0,0,0,0,0,0,0,0,,,,,19,0,0,0,0,3.8,8.497058314,12.29705831,-4.697058314
6,0,0,4,5,3,2.828427125,5.828427125,0.171572875,,,0,0,0,0,0,0,0,0,0,,,,,18,0,0,0,0,3.6,8.049844719,11.64984472,-4.449844719
5,0,0,4,5,2.8,2.588435821,5.388435821,0.211564179,,,0,0,0,0,0,0,0,0,0,,,,,16,0,0,0,0,3.2,7.155417528,10.35541753,-3.955417528
4,0,0,4,5,2.6,2.408318916,5.008318916,0.191681084,,,0,0,0,0,0,0,0,0,0,,,,,15,0,0,0,0,3,6.708203932,9.708203932,-3.708203932
4,0,0,3,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,13,0,0,0,0,2.6,5.813776741,8.413776741,-3.213776741
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,12,0,0,0,0,2.4,5.366563146,7.766563146,-2.966563146
4,0,0,3,3,2,1.870828693,3.870828693,0.129171307,,,0,0,0,0,0,0,0,0,0,,,,,10,0,0,0,0,2,4.472135955,6.472135955,-2.472135955
3,0,0,4,3,2,1.870828693,3.870828693,0.129171307,,,0,0,0,0,0,0,0,0,0,,,,,9,0,0,0,0,1.8,4.024922359,5.824922359,-2.224922359
3,0,0,4,3,2,1.870828693,3.870828693,0.129171307,,,0,0,0,0,0,0,0,0,0,,,,,9,0,0,0,0,1.8,4.024922359,5.824922359,-2.224922359
3,0,0,4,4,2.2,2.049390153,4.249390153,0.150609847,,,0,0,0,0,0,0,0,0,0,,,,,9,0,0,0,0,1.8,4.024922359,5.824922359,-2.224922359
4,0,0,4,4,2.4,2.19089023,4.59089023,0.20910977,,,0,0,0,0,0,0,0,0,0,,,,,7,0,0,0,0,1.4,3.130495168,4.530495168,-1.730495168
3,0,0,4,4,2.2,2.049390153,4.249390153,0.150609847,,,0,0,0,0,0,0,0,0,0,,,,,6,0,0,0,0,1.2,2.683281573,3.883281573,-1.483281573
3,0,0,3,4,2,1.870828693,3.870828693,0.129171307,,,0,0,0,0,0,0,0,0,0,,,,,6,0,0,0,0,1.2,2.683281573,3.883281573,-1.483281573
3,0,0,3,5,2.2,2.167948339,4.367948339,0.032051661,,,0,0,0,0,0,0,0,0,0,,,,,6,0,0,0,0,1.2,2.683281573,3.883281573,-1.483281573
3,0,0,3,5,2.2,2.167948339,4.367948339,0.032051661,,,0,0,0,0,0,0,0,0,0,,,,,3,0,0,0,0,0.6,1.341640786,1.941640786,-0.741640786
3,0,0,3,4,2,1.870828693,3.870828693,0.129171307,,,0,0,0,0,0,0,0,0,0,,,,,3,0,0,0,0,0.6,1.341640786,1.941640786,-0.741640786
3,0,0,3,5,2.2,2.167948339,4.367948339,0.032051661,,,0,0,0,0,0,0,0,0,0,,,,,3,0,0,0,0,0.6,1.341640786,1.941640786,-0.741640786
3,0,0,3,6,2.4,2.50998008,4.90998008,-0.10998008,,,0,0,0,0,0,0,0,0,0,,,,,3,0,0,0,0,0.6,1.341640786,1.941640786,-0.741640786
3,0,0,3,6,2.4,2.50998008,4.90998008,-0.10998008,,,0,0,0,0,0,0,0,0,0,,,,,2,0,0,0,0,0.4,0.894427191,1.294427191,-0.494427191
3,0,0,4,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,19,0,0,0,0,3.8,8.497058314,12.29705831,-4.697058314
3,0,0,4,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,18,0,0,0,0,3.6,8.049844719,11.64984472,-4.449844719
3,0,0,4,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,16,0,0,0,0,3.2,7.155417528,10.35541753,-3.955417528
3,0,0,4,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,15,0,0,0,0,3,6.708203932,9.708203932,-3.708203932
3,0,0,3,6,2.4,2.50998008,4.90998008,-0.10998008,,,0,0,0,0,0,0,0,0,0,,,,,13,0,0,0,0,2.6,5.813776741,8.413776741,-3.213776741
4,0,0,4,6,2.8,2.683281573,5.483281573,0.116718427,,,0,0,0,0,0,0,0,0,0,,,,,12,0,0,0,0,2.4,5.366563146,7.766563146,-2.966563146
3,0,0,4,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,10,0,0,0,0,2,4.472135955,6.472135955,-2.472135955
3,0,0,4,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,9,0,0,0,0,1.8,4.024922359,5.824922359,-2.224922359
3,0,0,4,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,7,0,0,0,0,1.4,3.130495168,4.530495168,-1.730495168
3,0,0,4,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,7,0,0,0,0,1.4,3.130495168,4.530495168,-1.730495168
3,0,0,4,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,6,0,0,0,0,1.2,2.683281573,3.883281573,-1.483281573
3,0,0,4,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,3,0,0,0,0,0.6,1.341640786,1.941640786,-0.741640786
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,2,0,0,0,0,0.4,0.894427191,1.294427191,-0.494427191
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,2,0,0,0,0,0.4,0.894427191,1.294427191,-0.494427191
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,3,5,2.4,2.302172887,4.702172887,0.097827113,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,3,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
3,0,0,3,7,2.6,2.880972058,5.480972058,-0.280972058,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
3,0,0,3,7,2.6,2.880972058,5.480972058,-0.280972058,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,3,7,2.8,2.949576241,5.749576241,-0.149576241,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,3,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,4,6,2.8,2.683281573,5.483281573,0.116718427,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,3,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,3,6,2.8,2.774887385,5.574887385,0.025112615,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
3,0,0,3,7,2.6,2.880972058,5.480972058,-0.280972058,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,3,7,2.8,2.949576241,5.749576241,-0.149576241,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
3,0,0,3,6,2.4,2.50998008,4.90998008,-0.10998008,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,3,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,3,6,2.6,2.607680962,5.207680962,-0.007680962,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,4,6,2.8,2.683281573,5.483281573,0.116718427,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,4,6,2.8,2.683281573,5.483281573,0.116718427,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
4,0,0,4,6,2.8,2.683281573,5.483281573,0.116718427,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,4,5,2.8,2.588435821,5.388435821,0.211564179,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,4,6,3,2.828427125,5.828427125,0.171572875,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,4,6,3,2.828427125,5.828427125,0.171572875,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,4,6,3,2.828427125,5.828427125,0.171572875,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,4,6,3,2.828427125,5.828427125,0.171572875,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,4,6,3,2.828427125,5.828427125,0.171572875,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,3,6,2.8,2.774887385,5.574887385,0.025112615,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,3,5,2.6,2.50998008,5.10998008,0.09001992,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,3,5,2.6,2.50998008,5.10998008,0.09001992,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,3,6,2.8,2.774887385,5.574887385,0.025112615,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
5,0,0,3,6,2.8,2.774887385,5.574887385,0.025112615,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0
