,,,Vanilla Location-1,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,,Vanilla Location-2,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,Vanilla Location-3,,,,,,,,,,,,,Inverse Heat,,,,,mSA Random Heuristics,,,,Vanilla with memory based and memoryless heuristic,,
,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,,new_Mean,Upper,Lower,,,Mean,Upper,Lower,,Mean,Upper,Lower
20,13,5,31,17,17.2,9.549869109,26.74986911,7.650130891,,23.2,30.335,16.065,,3.8,4.6944,2.9056,,,20,17,21,14,20,18.4,2.880972058,21.28097206,15.51902794,,18.7,27.604,9.7964,,0,0,0,,,12,22,0,10,20,12.8,8.786353055,21.58635305,4.013646945,,14.05,20.936,7.1639,,,5.6,12.821,-1.6213,,,10.8,23.913,-2.3133,,0,0,0
21,13,5,31,17,17.4,9.633275663,27.03327566,7.766724337,,23.25,30.357,16.143,,3.7,4.5645,2.8355,,,21,17,21,15,21,19,2.828427125,21.82842712,16.17157288,,18.75,27.497,10.003,,0,0,0,,,12,23,0,9,19,12.6,8.961026727,21.56102673,3.638973273,,14,20.905,7.0946,,,5.45,12.517,-1.6172,,,10.95,24.159,-2.2587,,0,0,0
21,13,4,30,17,17,9.617692031,26.61769203,7.382307969,,23.15,30.341,15.959,,3.65,4.4627,2.8373,,,20,18,21,14,20,18.6,2.792848009,21.39284801,15.80715199,,18.6,27.296,9.904,,0,0,0,,,11,22,0,9,20,12.4,8.905054744,21.30505474,3.494945256,,13.65,20.364,6.9357,,,5.45,12.405,-1.5046,,,10.8,23.821,-2.2206,,0,0,0
20,13,5,30,17,17,9.192388155,26.19238816,7.807611845,,23.15,30.201,16.099,,3.7,4.5013,2.8987,,,20,18,21,14,20,18.6,2.792848009,21.39284801,15.80715199,,18.55,27.532,9.5677,,0,0,0,,,10,22,0,9,20,12.2,8.955445271,21.15544527,3.244554729,,13.55,20.352,6.7485,,,5.4,12.526,-1.7259,,,10.65,23.738,-2.4379,,0,0,0
20,12,5,30,17,16.8,9.311283478,26.11128348,7.488716522,,23,30.116,15.884,,3.65,4.3952,2.9048,,,20,17,22,15,19,18.6,2.701851217,21.30185122,15.89814878,,18.55,27.462,9.6383,,0,0,0,,,10,22,0,9,20,12.2,8.955445271,21.15544527,3.244554729,,13.55,20.512,6.5879,,,5.5,12.823,-1.8234,,,10.6,23.68,-2.4803,,0,0,0
20,13,4,30,17,16.8,9.523654761,26.32365476,7.276345239,,22.8,29.876,15.724,,3.5,4.107,2.893,,,20,17,21,15,19,18.4,2.408318916,20.80831892,15.99168108,,18.3,27.186,9.4142,,0,0,0,,,9,21,0,9,20,11.8,8.757853618,20.55785362,3.042146382,,13.3,20.191,6.4091,,,5.5,12.715,-1.7148,,,10.75,23.836,-2.3363,,0,0,0
19,13,3,30,17,16.4,9.787747443,26.18774744,6.612252557,,22.65,29.878,15.422,,3.5,4.107,2.893,,,20,17,21,14,19,18.2,2.774887385,20.97488739,15.42511261,,18.15,27.242,9.0582,,0,0,0,,,9,21,0,10,19,11.8,8.467585252,20.26758525,3.332414748,,13.05,19.727,6.3735,,,5.4,12.496,-1.6963,,,10.6,23.62,-2.4198,,0,0,0
18,13,3,29,18,16.2,9.418067742,25.61806774,6.781932258,,22.6,29.704,15.496,,3.55,4.2363,2.8637,,,20,17,22,14,19,18.4,3.049590136,21.44959014,15.35040986,,18.3,27.494,9.1056,,0,0,0,,,9,20,0,9,19,11.4,8.264381405,19.6643814,3.135618595,,13.15,19.903,6.3966,,,5.3,12.548,-1.9482,,,10.7,23.723,-2.3227,,0,0,0
18,13,3,30,18,16.4,9.762171889,26.16217189,6.637828111,,22.85,30.157,15.543,,3.45,4.1363,2.7637,,,20,16,21,14,19,18,2.915475947,20.91547595,15.08452405,,18.2,27.212,9.1877,,0,0,0,,,8,20,0,9,19,11.2,8.348652586,19.54865259,2.851347414,,12.85,19.603,6.0966,,,5.3,12.453,-1.8532,,,10.65,23.694,-2.3936,,0,0,0
18,12,3,30,18,16.2,9.859006035,26.05900604,6.340993965,,22.55,29.808,15.292,,3.55,4.3092,2.7908,,,20,16,21,14,18,17.8,2.863564213,20.66356421,14.93643579,,18,27.009,8.9912,,0,0,0,,,9,21,0,9,19,11.6,8.532291603,20.1322916,3.067708397,,12.75,19.562,5.9377,,,5.4,12.636,-1.8359,,,10.65,23.681,-2.3814,,0,0,0
17,12,3,30,18,16,9.823441352,25.82344135,6.176558648,,22.45,29.752,15.148,,3.5,4.1882,2.8118,,,21,16,22,14,18,18.2,3.346640106,21.54664011,14.85335989,,18,26.991,9.0088,,0,0,0,,,9,21,0,8,19,11.4,8.619744776,20.01974478,2.780255224,,12.7,19.637,5.7634,,,5.5,13.036,-2.0359,,,10.5,23.411,-2.4106,,0,0,0
17,11,3,30,18,15.8,9.934787366,25.73478737,5.865212634,,22.35,29.65,15.05,,3.5,4.1882,2.8118,,,20,15,21,14,18,17.6,3.049590136,20.64959014,14.55040986,,17.8,26.777,8.8228,,0,0,0,,,8,20,0,8,19,11,8.426149773,19.42614977,2.573850227,,12.6,19.486,5.7145,,,5.65,13.371,-2.0706,,,10.5,23.296,-2.296,,0,0,0
17,11,3,29,18,15.6,9.581231654,25.18123165,6.018768346,,22.2,29.357,15.043,,3.5,4.1882,2.8118,,,20,15,21,14,18,17.6,3.049590136,20.64959014,14.55040986,,18,26.706,9.2943,,0,0,0,,,7,20,0,8,19,10.8,8.526429499,19.3264295,2.273570501,,12.6,19.607,5.5932,,,5.55,13.121,-2.0205,,,10.6,23.51,-2.3102,,0,0,0
17,11,3,30,18,15.8,9.934787366,25.73478737,5.865212634,,21.95,29.062,14.838,,3.5,4.1882,2.8118,,,20,14,21,14,18,17.4,3.286335345,20.68633535,14.11366465,,17.75,26.247,9.2531,,0,0,0,,,7,19,0,7,19,10.4,8.35463943,18.75463943,2.04536057,,12.25,19.208,5.2924,,,5.5,13.022,-2.0219,,,10.45,23.266,-2.3664,,0,0,0
17,11,3,30,18,15.8,9.934787366,25.73478737,5.865212634,,21.95,29.157,14.743,,3.45,4.1363,2.7637,,,20,15,21,14,18,17.6,3.049590136,20.64959014,14.55040986,,17.7,26.149,9.2514,,0,0,0,,,7,19,0,8,19,10.6,8.264381405,18.8643814,2.335618595,,12.1,18.866,5.334,,,5.45,13.097,-2.1966,,,10.55,23.481,-2.3809,,0,0,0
17,10,3,30,18,15.6,10.06479011,25.66479011,5.535209888,,21.85,29.1,14.6,,3.45,4.1363,2.7637,,,20,15,21,14,18,17.6,3.049590136,20.64959014,14.55040986,,17.8,26.314,9.2862,,0,0,0,,,7,19,0,7,19,10.4,8.35463943,18.75463943,2.04536057,,12.15,19.027,5.2731,,,5.3,12.678,-2.0778,,,10.65,23.604,-2.3045,,0,0,0
17,11,3,30,18,15.8,9.934787366,25.73478737,5.865212634,,21.75,28.85,14.65,,3.45,4.1363,2.7637,,,20,14,22,14,18,17.6,3.577708764,21.17770876,14.02229124,,17.9,26.52,9.2799,,0,0,0,,,7,18,0,8,19,10.4,8.018728079,18.41872808,2.381271921,,11.9,18.54,5.2596,,,5.3,12.756,-2.1558,,,10.5,23.382,-2.3821,,0,0,0
17,10,3,30,18,15.6,10.06479011,25.66479011,5.535209888,,21.7,28.97,14.43,,3.5,4.1882,2.8118,,,19,15,21,14,18,17.4,2.880972058,20.28097206,14.51902794,,17.75,26.21,9.2903,,0,0,0,,,6,19,0,7,19,10.2,8.467585252,18.66758525,1.732414748,,12.1,18.943,5.2566,,,5.2,12.56,-2.1599,,,10.5,23.407,-2.4065,,0,0,0
17,11,3,30,18,15.8,9.934787366,25.73478737,5.865212634,,21.85,29.128,14.572,,3.55,4.2363,2.8637,,,19,14,21,12,18,16.8,3.701351105,20.5013511,13.0986489,,17.5,26.16,8.8397,,0,0,0,,,6,18,0,7,19,10,8.215838363,18.21583836,1.784161637,,11.8,18.517,5.0832,,,5.25,12.718,-2.2184,,,10.5,23.532,-2.5323,,0,0,0
17,10,3,30,18,15.6,10.06479011,25.66479011,5.535209888,,21.6,28.915,14.285,,3.5,4.1882,2.8118,,,18,15,21,12,18,16.8,3.420526275,20.22052628,13.37947372,,17.35,25.966,8.7338,,0,0,0,,,5,18,0,7,19,9.8,8.348652586,18.14865259,1.451347414,,11.75,18.445,5.0546,,,5.3,12.868,-2.2679,,,10.55,23.675,-2.5748,,0,0,0
17,9,3,29,18,15.2,9.859006035,25.05900604,5.340993965,,21.4,28.694,14.106,,3.55,4.2363,2.8637,,,18,14,21,12,18,16.6,3.577708764,20.17770876,13.02229124,,17.2,25.818,8.5818,,0,0,0,,,4,17,0,7,19,9.4,8.264381405,17.6643814,1.135618595,,11.6,18.331,4.8691,,,5.3,12.656,-2.0563,,,10.5,23.516,-2.5162,,0,0,0
15,9,3,30,18,15,10.17349497,25.17349497,4.826505025,,21.5,29.064,13.936,,3.55,4.2363,2.8637,,,18,15,21,12,18,16.8,3.420526275,20.22052628,13.37947372,,17.3,25.773,8.8265,,0,0,0,,,4,18,0,7,19,9.6,8.502940668,18.10294067,1.097059332,,11.7,18.302,5.0978,,,5.35,12.905,-2.2052,,,10.55,23.723,-2.6228,,0,0,0
16,9,3,30,18,15.2,10.18331969,25.38331969,5.016680306,,21.2,28.596,13.804,,3.5,4.1882,2.8118,,,19,15,21,12,18,17,3.535533906,20.53553391,13.46446609,,17.1,25.696,8.5044,,0,0,0,,,4,17,0,6,19,9.2,8.348652586,17.54865259,0.851347414,,11.5,18.317,4.6828,,,5.5,13.229,-2.229,,,10.6,23.676,-2.4763,,0,0,0
16,9,3,29,18,15,9.823441352,24.82344135,5.176558648,,21.1,28.405,13.795,,3.5,4.1882,2.8118,,,19,15,21,12,18,17,3.535533906,20.53553391,13.46446609,,16.9,25.329,8.4714,,0,0,0,,,4,18,0,7,19,9.6,8.502940668,18.10294067,1.097059332,,11.65,18.38,4.9201,,,5.3,12.958,-2.3578,,,10.45,23.595,-2.6948,,0,0,0
16,9,3,29,18,15,9.823441352,24.82344135,5.176558648,,21,28.13,13.87,,3.5,4.1882,2.8118,,,19,15,21,12,18,17,3.535533906,20.53553391,13.46446609,,16.8,25.252,8.3483,,0,0,0,,,4,17,0,6,19,9.2,8.348652586,17.54865259,0.851347414,,11.5,18.224,4.7761,,,5.5,13.236,-2.2358,,,10.5,23.621,-2.6209,,0,0,0
15,9,3,29,18,14.8,9.808159868,24.60815987,4.991840132,,20.95,28.215,13.685,,3.5,4.1882,2.8118,,,18,15,21,12,18,16.8,3.420526275,20.22052628,13.37947372,,16.75,25.166,8.334,,0,0,0,,,4,17,0,6,19,9.2,8.348652586,17.54865259,0.851347414,,11.2,17.79,4.6097,,,5.25,12.718,-2.2184,,,10.4,23.512,-2.7125,,0,0,0
16,9,3,29,17,14.8,9.757048734,24.55704873,5.042951266,,20.6,27.696,13.504,,3.5,4.1882,2.8118,,,19,14,21,12,18,16.8,3.701351105,20.5013511,13.0986489,,16.75,25.29,8.2098,,0,0,0,,,4,18,0,6,19,9.4,8.590692638,17.99069264,0.809307362,,11.35,17.993,4.7066,,,5.3,12.784,-2.184,,,10.35,23.329,-2.6288,,0,0,0
15,9,3,29,17,14.6,9.736529156,24.33652916,4.863470844,,20.55,27.765,13.335,,3.5,4.1882,2.8118,,,19,14,21,12,18,16.8,3.701351105,20.5013511,13.0986489,,16.7,25.124,8.2763,,0,0,0,,,4,18,0,6,19,9.4,8.590692638,17.99069264,0.809307362,,11.35,18.009,4.6908,,,5.2,12.652,-2.2523,,,10.5,23.605,-2.6048,,0,0,0
15,9,3,29,16,14.4,9.68504001,24.08504001,4.71495999,,20.45,27.657,13.243,,3.5,4.1882,2.8118,,,18,14,21,12,18,16.6,3.577708764,20.17770876,13.02229124,,16.55,25.007,8.0928,,0,0,0,,,4,17,0,6,19,9.2,8.348652586,17.54865259,0.851347414,,11.15,17.73,4.5703,,,5.25,12.782,-2.2815,,,10.5,23.665,-2.6649,,0,0,0
16,9,3,29,16,14.6,9.710818709,24.31081871,4.889181291,,20.2,27.261,13.139,,3.5,4.1882,2.8118,,,18,14,21,12,18,16.6,3.577708764,20.17770876,13.02229124,,16.6,25.001,8.1995,,0,0,0,,,4,17,0,6,19,9.2,8.348652586,17.54865259,0.851347414,,11.1,17.628,4.5715,,,5.2,12.702,-2.3016,,,10.4,23.444,-2.6441,,0,0,0
15,9,3,29,16,14.4,9.68504001,24.08504001,4.71495999,,20.05,27.243,12.857,,3.5,4.1882,2.8118,,,19,14,21,12,18,16.8,3.701351105,20.5013511,13.0986489,,16.6,25.143,8.0566,,0,0,0,,,4,16,0,5,19,8.8,8.228000972,17.02800097,0.571999028,,11.05,17.703,4.3971,,,5.05,12.315,-2.2155,,,10.35,23.341,-2.641,,0,0,0
15,9,3,28,16,14.2,9.311283478,23.51128348,4.888716522,,19.95,27.099,12.801,,3.5,4.1882,2.8118,,,19,14,21,11,18,16.6,4.037325848,20.63732585,12.56267415,,16.35,24.905,7.7951,,0,0,0,,,4,16,0,5,19,8.8,8.228000972,17.02800097,0.571999028,,10.9,17.404,4.3958,,,5.05,12.323,-2.2227,,,10.3,23.363,-2.763,,0,0,0
15,9,3,28,15,14,9.273618495,23.2736185,4.726381505,,19.75,26.916,12.584,,3.5,4.1882,2.8118,,,19,14,21,11,18,16.6,4.037325848,20.63732585,12.56267415,,16.45,25.043,7.857,,0,0,0,,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057,,10.6,17.141,4.0594,,,4.95,12.076,-2.1765,,,10.4,23.412,-2.6117,,0,0,0
15,9,3,28,15,14,9.273618495,23.2736185,4.726381505,,19.75,27.026,12.474,,3.5,4.1882,2.8118,,,19,14,21,11,18,16.6,4.037325848,20.63732585,12.56267415,,16.45,25.043,7.857,,0,0,0,,,4,16,0,5,19,8.8,8.228000972,17.02800097,0.571999028,,10.8,17.374,4.2257,,,4.95,12.025,-2.1246,,,10.3,23.254,-2.6538,,0,0,0
14,9,3,28,15,13.8,9.257429449,23.05742945,4.542570551,,19.5,26.859,12.141,,3.5,4.1882,2.8118,,,18,14,21,11,18,16.4,3.911521443,20.31152144,12.48847856,,16.3,24.829,7.7708,,0,0,0,,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057,,10.4,16.997,3.8034,,,5.1,12.361,-2.1613,,,10.4,23.608,-2.8085,,0,0,0
15,9,3,28,14,13.8,9.257429449,23.05742945,4.542570551,,19.35,26.541,12.159,,3.5,4.1882,2.8118,,,18,14,21,11,18,16.4,3.911521443,20.31152144,12.48847856,,16.2,24.714,7.6862,,0,0,0,,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057,,10.4,16.997,3.8034,,,5,12.049,-2.0487,,,10.35,23.474,-2.774,,0,0,0
14,9,3,28,15,13.8,9.257429449,23.05742945,4.542570551,,19.35,26.453,12.247,,3.5,4.1882,2.8118,,,18,14,21,9,18,16,4.636809248,20.63680925,11.36319075,,15.95,24.653,7.2475,,0,0,0,,,4,16,0,5,19,8.8,8.228000972,17.02800097,0.571999028,,10.25,16.689,3.811,,,4.95,12.047,-2.1469,,,10.35,23.292,-2.5923,,0,0,0
15,9,3,28,14,13.8,9.257429449,23.05742945,4.542570551,,19.3,26.312,12.288,,3.5,4.1882,2.8118,,,18,13,21,9,18,15.8,4.7644517,20.5644517,11.0355483,,15.85,24.509,7.1911,,0,0,0,,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057,,10.4,16.86,3.9404,,,4.9,11.85,-2.0502,,,10.3,23.217,-2.6171,,0,0,0
14,9,3,28,14,13.6,9.235799911,22.83579991,4.364200089,,19.2,26.283,12.117,,3.5,4.1882,2.8118,,,18,13,21,9,18,15.8,4.7644517,20.5644517,11.0355483,,15.6,24.156,7.0443,,0,0,0,,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057,,10.3,16.798,3.8022,,,5,12.108,-2.1082,,,10.3,23.286,-2.6862,,0,0,0
14,9,3,28,14,13.6,9.235799911,22.83579991,4.364200089,,19.05,26.243,11.857,,3.5,4.1882,2.8118,,,19,13,21,9,18,16,4.898979486,20.89897949,11.10102051,,15.5,23.976,7.024,,0,0,0,,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057,,10.15,16.584,3.7159,,,5.1,12.08,-1.8804,,,10.3,23.238,-2.6375,,0,0,0
14,9,3,28,14,13.6,9.235799911,22.83579991,4.364200089,,19.05,26.221,11.879,,3.5,4.1882,2.8118,,,19,13,21,9,18,16,4.898979486,20.89897949,11.10102051,,15.5,24.044,6.956,,0,0,0,,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057,,10.45,16.853,4.0471,,,5.05,12.221,-2.1207,,,10.35,23.345,-2.645,,0,0,0
14,9,3,28,15,13.8,9.257429449,23.05742945,4.542570551,,19.1,26.288,11.912,,3.5,4.1882,2.8118,,,19,13,21,8,18,15.8,5.263078947,21.06307895,10.53692105,,15.25,23.722,6.7779,,0,0,0,,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057,,10.35,16.784,3.9159,,,5,11.974,-1.9736,,,10.4,23.4,-2.5996,,0,0,0
14,9,3,28,14,13.6,9.235799911,22.83579991,4.364200089,,18.8,25.927,11.673,,3.5,4.1882,2.8118,,,19,13,21,9,18,16,4.898979486,20.89897949,11.10102051,,15.1,23.441,6.7592,,0,0,0,,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057,,10.2,16.579,3.8208,,,4.95,11.821,-1.9208,,,10.25,23.154,-2.654,,0,0,0
15,9,3,27,14,13.6,8.876936408,22.47693641,4.723063592,,18.75,25.723,11.777,,3.5,4.1882,2.8118,,,19,13,21,8,18,15.8,5.263078947,21.06307895,10.53692105,,15,23.417,6.5832,,0,0,0,,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668,,10.05,16.478,3.6225,,,4.95,11.813,-1.9131,,,10.25,23.348,-2.8483,,0,0,0
14,9,3,27,14,13.4,8.848728722,22.24872872,4.551271278,,18.65,25.595,11.705,,3.5,4.1882,2.8118,,,19,12,21,8,18,15.6,5.412947441,21.01294744,10.18705256,,14.95,23.25,6.6499,,0,0,0,,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668,,10,16.383,3.6175,,,4.9,11.72,-1.9202,,,10.35,23.357,-2.6572,,0,0,0
14,9,3,27,14,13.4,8.848728722,22.24872872,4.551271278,,18.5,25.379,11.621,,3.5,4.1882,2.8118,,,18,12,21,9,18,15.6,4.929503018,20.52950302,10.67049698,,14.75,23.015,6.4855,,0,0,0,,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668,,10,16.383,3.6175,,,4.85,11.665,-1.9654,,,10.3,23.201,-2.6008,,0,0,0
14,9,3,27,12,13,8.860022573,21.86002257,4.139977427,,18.4,25.422,11.378,,3.5,4.1882,2.8118,,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,14.75,22.893,6.6074,,0,0,0,,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668,,10,16.383,3.6175,,,4.65,11.309,-2.0092,,,10.25,23.195,-2.6947,,0,0,0
15,9,3,27,12,13.2,8.899438185,22.09943818,4.300561815,,18.45,25.487,11.413,,3.5,4.1882,2.8118,,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,14.65,22.834,6.4661,,0,0,0,,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057,,10.05,16.362,3.7381,,,4.75,11.453,-1.9533,,,10.3,23.339,-2.7388,,0,0,0
14,9,3,27,12,13,8.860022573,21.86002257,4.139977427,,18.1,25.296,10.904,,3.5,4.1882,2.8118,,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,14.45,22.597,6.3035,,0,0,0,,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668,,9.9,16.19,3.6097,,,4.85,11.65,-1.95,,,10.25,23.203,-2.7028,,0,0,0
15,9,3,27,12,13.2,8.899438185,22.09943818,4.300561815,,18.25,25.424,11.076,,3.5,4.1882,2.8118,,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,14.4,22.481,6.3188,,0,0,0,,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668,,10,16.366,3.634,,,4.85,11.78,-2.0803,,,10.2,23.237,-2.8368,,0,0,0
14,9,3,27,12,13,8.860022573,21.86002257,4.139977427,,18.05,25.206,10.894,,3.5,4.1882,2.8118,,,18,12,21,9,18,15.6,4.929503018,20.52950302,10.67049698,,14.15,22.106,6.1944,,0,0,0,,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668,,10.05,16.469,3.6307,,,4.85,11.719,-2.0193,,,10.15,23.169,-2.8693,,0,0,0
15,9,3,27,11,13,8.94427191,21.94427191,4.05572809,,17.85,25.1,10.6,,3.5,4.1882,2.8118,,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,14.1,21.947,6.2534,,0,0,0,,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668,,9.85,16.3,3.3996,,,4.85,11.477,-1.7775,,,10.4,23.636,-2.8363,,0,0,0
14,9,3,27,11,12.8,8.899438185,21.69943818,3.900561815,,17.75,25.083,10.417,,3.5,4.1882,2.8118,,,18,12,21,9,18,15.6,4.929503018,20.52950302,10.67049698,,14,21.766,6.2337,,0,0,0,,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355,,9.8,16.31,3.2901,,,4.85,11.47,-1.7695,,,10.4,23.573,-2.7725,,0,0,0
15,9,3,27,11,13,8.94427191,21.94427191,4.05572809,,17.6,24.915,10.285,,3.5,4.1882,2.8118,,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,13.85,21.779,5.9209,,0,0,0,,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355,,9.8,16.446,3.1541,,,4.8,11.422,-1.8221,,,10.4,23.553,-2.7525,,0,0,0
14,9,3,27,11,12.8,8.899438185,21.69943818,3.900561815,,17.5,24.866,10.134,,3.5,4.1882,2.8118,,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,13.85,21.911,5.7892,,0,0,0,,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355,,9.85,16.556,3.1436,,,4.85,11.509,-1.8092,,,10.3,23.25,-2.6497,,0,0,0
14,9,3,27,10,12.6,8.961026727,21.56102673,3.638973273,,17.5,24.873,10.127,,3.5,4.1882,2.8118,,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,13.9,21.926,5.8744,,0,0,0,,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668,,9.8,16.35,3.2498,,,4.65,11.125,-1.8249,,,10.35,23.422,-2.7218,,0,0,0
15,9,3,27,10,12.8,9.011104261,21.81110426,3.788895739,,17.4,24.977,9.823,,3.5,4.1882,2.8118,,,17,12,21,8,18,15.2,5.167204273,20.36720427,10.03279573,,13.95,22.045,5.8553,,0,0,0,,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355,,9.65,16.254,3.0464,,,4.9,11.556,-1.7562,,,10.45,23.659,-2.7587,,0,0,0
14,9,3,27,10,12.6,8.961026727,21.56102673,3.638973273,,17.15,24.628,9.6718,,3.5,4.1882,2.8118,,,17,12,21,8,18,15.2,5.167204273,20.36720427,10.03279573,,13.9,21.906,5.8941,,0,0,0,,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355,,9.75,16.342,3.1575,,,4.95,11.666,-1.7658,,,10.4,23.565,-2.7645,,0,0,0
15,9,3,27,10,12.8,9.011104261,21.81110426,3.788895739,,17.1,24.526,9.6739,,3.5,4.1882,2.8118,,,16,12,21,8,18,15,5.099019514,20.09901951,9.900980486,,13.75,21.775,5.7245,,0,0,0,,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355,,9.55,16.059,3.0411,,,4.85,11.572,-1.8721,,,10.4,23.525,-2.7245,,0,0,0
14,9,3,27,9,12.4,9.044335244,21.44433524,3.355664756,,17.05,24.53,9.5704,,3.5,4.1882,2.8118,,,16,12,21,7,18,14.8,5.449770637,20.24977064,9.350229363,,13.6,21.583,5.6171,,0,0,0,,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355,,9.85,16.422,3.2783,,,4.75,11.238,-1.7378,,,10.4,23.525,-2.7245,,0,0,0
14,9,3,27,9,12.4,9.044335244,21.44433524,3.355664756,,17,24.504,9.4956,,3.5,4.1882,2.8118,,,15,12,21,8,18,14.8,5.069516742,19.86951674,9.730483258,,13.7,21.641,5.7588,,0,0,0,,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355,,9.55,16.059,3.0411,,,4.8,11.438,-1.838,,,10.45,23.671,-2.7707,,0,0,0
15,9,3,27,9,12.6,9.099450533,21.69945053,3.500549467,,17,24.532,9.4676,,3.5,4.1882,2.8118,,,15,12,21,8,18,14.8,5.069516742,19.86951674,9.730483258,,13.55,21.4,5.6996,,0,0,0,,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355,,9.7,16.254,3.1458,,,4.75,11.213,-1.7135,,,10.3,23.411,-2.8113,,0,0,0
14,9,3,27,8,12.2,9.148770409,21.34877041,3.051229591,,16.85,24.412,9.2878,,3.5,4.1882,2.8118,,,15,12,21,8,18,14.8,5.069516742,19.86951674,9.730483258,,13.6,21.503,5.6966,,0,0,0,,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565,,9.45,16.095,2.8051,,,4.65,11.051,-1.7513,,,10.25,23.256,-2.7556,,0,0,0
14,9,3,27,8,12.2,9.148770409,21.34877041,3.051229591,,16.75,24.316,9.1836,,3.5,4.1882,2.8118,,,14,12,21,7,18,14.4,5.412947441,19.81294744,8.987052559,,13.4,21.169,5.631,,0,0,0,,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565,,9.5,16.185,2.8154,,,4.55,10.845,-1.7452,,,10.3,23.399,-2.7992,,0,0,0
15,9,3,27,8,12.4,9.208691547,21.60869155,3.191308453,,16.55,24.114,8.9864,,3.5,4.1882,2.8118,,,14,12,21,6,18,14.2,5.761944116,19.96194412,8.438055884,,13.3,21.087,5.5127,,0,0,0,,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565,,9.5,16.185,2.8154,,,4.55,10.928,-1.8282,,,10.4,23.684,-2.8839,,0,0,0
14,9,3,27,8,12.2,9.148770409,21.34877041,3.051229591,,16.55,24.093,9.0073,,3.5,4.1882,2.8118,,,14,11,21,6,18,14,5.873670062,19.87367006,8.126329938,,13.15,20.999,5.3009,,0,0,0,,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565,,9.65,16.38,2.9201,,,4.5,10.804,-1.8037,,,10.3,23.551,-2.951,,0,0,0
14,9,3,27,6,11.8,9.418067742,21.21806774,2.381932258,,16.5,24.31,8.6898,,3.5,4.1882,2.8118,,,13,11,21,6,18,13.8,5.89067059,19.69067059,7.90932941,,13,20.766,5.2337,,0,0,0,,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565,,9.6,16.292,2.9083,,,4.6,11.116,-1.9164,,,10.25,23.392,-2.8924,,0,0,0
