,,,Vanilla Location-1,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,,Vanilla Location-2,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,Vanilla Location-3,,,,,,,,,,,,,Inverse Heat,,,,,mSA Random Heuristics,,,,Vanilla with memory based and memoryless heuristic,,
,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,,new_Mean,Upper,Lower,,,Mean,Upper,Lower,,Mean,Upper,Lower
21,27,21,27,29,25,3.741657387,28.74165739,21.25834261,,26.65,31.253,22.047,,5.95,6.8945,5.0055,,,21,14,19,22,14,18,3.807886553,21.80788655,14.19211345,,22.5,28.226,16.774,,4,4,4,,,18,13,17,14,24,17.2,4.324349662,21.52434966,12.87565034,,18.9,24.191,13.609,,,13.85,17.787,9.9127,,,8.75,13.125,4.3745,,0,0,0
20,28,20,28,30,25.2,4.816637832,30.01663783,20.38336217,,26.9,31.925,21.875,,7.05,7.7363,6.3637,,,22,15,21,21,14,18.6,3.78153408,22.38153408,14.81846592,,22.9,28.49,17.31,,5,5,5,,,19,14,16,13,23,17,4.062019202,21.0620192,12.9379808,,18.8,23.977,13.623,,,13.7,17.881,9.5186,,,8.65,12.601,4.6993,,0,0,0
21,27,18,27,29,24.4,4.669047012,29.06904701,19.73095299,,26.95,31.971,21.929,,5.95,6.8945,5.0055,,,21,14,22,22,15,18.8,3.962322551,22.76232255,14.83767745,,22.85,28.528,17.172,,4,4,4,,,20,13,17,14,24,17.6,4.50555213,22.10555213,13.09444787,,18.35,22.559,14.141,,,13.7,17.956,9.4437,,,8.7,11.93,5.4702,,0,0,0
22,26,19,28,30,25,4.472135955,29.47213595,20.52786405,,26.65,31.616,21.684,,5.05,5.7363,4.3637,,,20,15,21,21,15,18.4,3.130495168,21.53049517,15.26950483,,22.65,28.564,16.736,,3,3,3,,,22,13,16,13,23,17.4,4.827007354,22.22700735,12.57299265,,18.85,23.096,14.604,,,13.25,17.939,8.561,,,9.1,13.391,4.8093,,0,0,0
21,24,18,30,27,24,4.74341649,28.74341649,19.25658351,,26.25,31.764,20.736,,4.35,4.9371,3.7629,,,18,16,24,20,15,18.6,3.577708764,22.17770876,15.02229124,,22.35,29.386,15.314,,2,2,2,,,23,14,17,14,24,18.4,4.827007354,23.22700735,13.57299265,,18.7,22.944,14.456,,,13,17.823,8.1768,,,8.9,13.83,3.97,,0,0,0
20,23,17,29,26,23,4.74341649,27.74341649,18.25658351,,26.15,31.911,20.389,,3.85,4.3394,3.3606,,,18,18,23,18,16,18.6,2.607680962,21.20768096,15.99231904,,21.3,27.592,15.008,,0,0,0,,,22,16,19,16,23,19.2,3.271085447,22.47108545,15.92891455,,18.85,22.867,14.833,,,12.85,17.827,7.8735,,,8.75,13.658,3.8416,,0,0,0
18,24,15,31,24,22.4,6.188699379,28.58869938,16.21130062,,26.1,32.143,20.057,,3.25,3.6943,2.8057,,,19,18,21,19,17,18.8,1.483239697,20.2832397,17.3167603,,21.25,27.557,14.943,,0,0,0,,,23,17,22,17,21,20,2.828427125,22.82842712,17.17157288,,19.3,23.379,15.221,,,12.8,17.619,7.9812,,,8.65,13.658,3.6418,,0,0,0
18,23,16,30,23,22,5.431390246,27.43139025,16.56860975,,25.95,32.475,19.425,,4.75,5.5364,3.9636,,,18,19,22,21,17,19.4,2.073644135,21.47364414,17.32635586,,21.45,27.754,15.146,,0,0,0,,,21,16,23,19,22,20.2,2.774887385,22.97488739,17.42511261,,19.55,23.761,15.339,,,12.7,18.14,7.2604,,,8.8,14.147,3.4531,,0,0,0
19,21,15,29,21,21,5.099019514,26.09901951,15.90098049,,25.7,32.286,19.114,,5.05,5.7363,4.3637,,,17,21,21,22,18,19.8,2.167948339,21.96794834,17.63205166,,21.4,27.412,15.388,,0,0,0,,,19,17,25,18,21,20,3.16227766,23.16227766,16.83772234,,18.8,23.172,14.428,,,12.4,17.862,6.9382,,,8.95,14.639,3.2609,,0,0,0
25,20,14,30,22,22.2,5.93295879,28.13295879,16.26704121,,26.05,32.253,19.847,,4.45,5.2092,3.6908,,,18,22,22,21,19,20.4,1.816590212,22.21659021,18.58340979,,21.8,27.84,15.76,,0,0,0,,,18,19,24,16,21,19.6,3.049590136,22.64959014,16.55040986,,18.55,23.201,13.899,,,12.15,17.543,6.7573,,,9.3,15.105,3.4953,,0,0,0
