,23,24,23,21,21,18,18,21,22,23,20,20,17,17,18,17,14,16,15,16,14,15,17,16,13,16,16,16,18,20,22,23,20,19,21,21,20,18,16,14
,23,21,18,17,0,13,12,13,14,12,0,10,11,10,11,9,9,9,10,9,11,10,11,10,10,10,11,13,12,12,11,13,13,16,16,16,17,16,17,15
,28,30,30,29,28,31,30,31,33,34,35,34,34,36,33,33,31,30,33,34,33,30,30,30,27,27,28,27,27,27,27,28,29,28,26,28,30,33,31,30
,26,23,20,20,17,15,18,19,0,0,26,26,27,27,28,26,25,22,22,18,19,19,21,21,21,21,18,19,20,19,18,18,19,18,19,20,19,19,20,19
,28,31,33,30,27,28,29,28,29,27,26,24,21,19,21,19,17,16,18,19,22,22,23,20,20,19,19,18,19,19,19,19,20,18,20,18,18,19,22,20
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Mean,25.6,25.8,24.8,23.4,18.6,21,21.4,22.4,19.6,19.2,21.4,22.8,22,21.8,22.2,20.8,19.2,18.6,19.6,19.2,19.8,19.2,20.4,19.4,18.2,18.6,18.4,18.6,19.2,19.4,19.4,20.2,20.2,19.8,20.4,20.6,20.8,21,21.2,19.6
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
SD,2.50998008,4.438468204,6.457553716,5.770615219,11.32695899,8.031189202,7.797435476,7.197221686,13.12630946,13.36787193,13.1072499,8.786353055,8.888194417,9.984988733,8.584870413,9.121403401,8.786353055,7.861297603,8.67755726,9.148770409,8.526429499,7.529940239,7.056911506,7.334848328,6.760177512,6.268971207,6.188699379,5.224940191,5.357238094,5.319774431,5.856620186,5.630275304,5.718391382,4.711687596,3.646916506,4.5607017,5.263078947,6.819090848,5.974947699,6.348228099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Time,Mean,STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,23,28,26,28,1,25.6,2.50998008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,21,30,23,31,2,25.8,4.438468204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,18,30,20,33,3,24.8,6.457553716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,17,29,20,30,4,23.4,5.770615219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,0,28,17,27,5,18.6,11.32695899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,13,31,15,28,6,21,8.031189202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,12,30,18,29,7,21.4,7.797435476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,13,31,19,28,8,22.4,7.197221686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,14,33,0,29,9,19.6,13.12630946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,12,34,0,27,10,19.2,13.36787193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0,35,26,26,11,21.4,13.1072499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,10,34,26,24,12,22.8,8.786353055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,11,34,27,21,13,22,8.888194417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,10,36,27,19,14,21.8,9.984988733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,11,33,28,21,15,22.2,8.584870413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,9,33,26,19,16,20.8,9.121403401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,9,31,25,17,17,19.2,8.786353055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,9,30,22,16,18,18.6,7.861297603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,10,33,22,18,19,19.6,8.67755726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,9,34,18,19,20,19.2,9.148770409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,11,33,19,22,21,19.8,8.526429499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,10,30,19,22,22,19.2,7.529940239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,11,30,21,23,23,20.4,7.056911506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,10,30,21,20,24,19.4,7.334848328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,10,27,21,20,25,18.2,6.760177512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,10,27,21,19,26,18.6,6.268971207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,11,28,18,19,27,18.4,6.188699379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,13,27,19,18,28,18.6,5.224940191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,12,27,20,19,29,19.2,5.357238094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,12,27,19,19,30,19.4,5.319774431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,11,27,18,19,31,19.4,5.856620186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,13,28,18,19,32,20.2,5.630275304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,13,29,19,20,33,20.2,5.718391382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,16,28,18,18,34,19.8,4.711687596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,16,26,19,20,35,20.4,3.646916506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,16,28,20,18,36,20.6,4.5607017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,17,30,19,18,37,20.8,5.263078947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,16,33,19,19,38,21,6.819090848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,17,31,20,22,39,21.2,5.974947699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,15,30,19,20,40,19.6,6.348228099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
