,,,Vanilla Location-1,,,,,,,,,,Vanilla Location-2,,,,,,,,,Vanilla Location-3,,,,,,
,,,,,Mean,Std,Upper ,Lower,,,,,,,Mean,Std,Upper ,Lower,,,,,,,Mean,Std,Upper ,Lower
20,13,10,31,19,18.6,8.08084154,26.68084154,10.51915846,,25,21,24,20,24,22.8,2.167948339,24.96794834,20.63205166,,15,24,6,11,20,15.2,7.120393248,22.32039325,8.079606752
19,13,10,31,19,18.4,8.049844719,26.44984472,10.35015528,,25,21,23,19,24,22.4,2.408318916,24.80831892,19.99168108,,15,24,5,11,20,15,7.449832213,22.44983221,7.550167787
20,13,10,32,18,18.6,8.473488066,27.07348807,10.12651193,,24,21,24,19,24,22.4,2.302172887,24.70217289,20.09782711,,14,24,5,11,21,15,7.64852927,22.64852927,7.35147073
19,12,10,33,19,18.6,9.016651263,27.61665126,9.583348737,,25,21,23,19,25,22.6,2.607680962,25.20768096,19.99231904,,13,24,5,10,21,14.6,7.829431652,22.42943165,6.770568348
20,12,10,33,19,18.8,9.038805231,27.83880523,9.761194769,,25,21,24,20,24,22.8,2.167948339,24.96794834,20.63205166,,13,25,4,10,20,14.4,8.264381405,22.6643814,6.135618595
21,12,9,33,19,18.8,9.338094024,28.13809402,9.461905976,,25,21,24,19,24,22.6,2.50998008,25.10998008,20.09001992,,14,24,5,10,20,14.6,7.602631123,22.20263112,6.997368877
21,12,10,33,19,19,9.082951062,28.08295106,9.917048938,,24,21,23,20,24,22.4,1.816590212,24.21659021,20.58340979,,14,25,4,9,20,14.4,8.384509527,22.78450953,6.015490473
21,13,10,32,20,19.2,8.526429499,27.7264295,10.6735705,,24,21,23,20,23,22.2,1.643167673,23.84316767,20.55683233,,14,24,3,11,21,14.6,8.324662155,22.92466216,6.275337845
20,12,9,32,19,18.4,8.905054744,27.30505474,9.494945256,,23,20,22,20,23,21.6,1.516575089,23.11657509,20.08342491,,13,24,3,11,21,14.4,8.35463943,22.75463943,6.04536057
20,13,8,32,20,18.6,9.044335244,27.64433524,9.555664756,,23,21,21,20,24,21.8,1.643167673,23.44316767,20.15683233,,13,24,2,11,21,14.2,8.700574694,22.90057469,5.499425306
20,13,8,32,20,18.6,9.044335244,27.64433524,9.555664756,,24,20,21,19,23,21.4,2.073644135,23.47364414,19.32635586,,12,24,2,11,21,14,8.746427842,22.74642784,5.253572158
21,13,8,32,20,18.8,9.093954036,27.89395404,9.706045964,,23,20,21,18,24,21.2,2.387467277,23.58746728,18.81253272,,12,23,2,11,21,13.8,8.467585252,22.26758525,5.332414748
21,12,8,33,20,18.8,9.628083922,28.42808392,9.171916078,,23,20,22,18,24,21.4,2.408318916,23.80831892,18.99168108,,13,23,2,11,21,14,8.426149773,22.42614977,5.573850227
21,13,9,33,19,19,9.16515139,28.16515139,9.83484861,,23,20,22,18,24,21.4,2.408318916,23.80831892,18.99168108,,13,24,2,10,20,13.8,8.613942187,22.41394219,5.186057813
21,13,9,33,19,19,9.16515139,28.16515139,9.83484861,,23,20,22,18,23,21.2,2.167948339,23.36794834,19.03205166,,13,24,2,10,20,13.8,8.613942187,22.41394219,5.186057813
21,13,9,32,19,18.8,8.786353055,27.58635305,10.01364695,,23,20,21,18,24,21.2,2.387467277,23.58746728,18.81253272,,13,23,2,10,19,13.4,8.142481194,21.54248119,5.257518806
21,13,8,32,18,18.4,9.071934744,27.47193474,9.328065256,,23,20,22,17,24,21.2,2.774887385,23.97488739,18.42511261,,12,23,2,9,20,13.2,8.467585252,21.66758525,4.732414748
21,12,8,32,18,18.2,9.230384607,27.43038461,8.969615393,,22,20,22,17,24,21,2.645751311,23.64575131,18.35424869,,13,23,0,10,19,13,8.860022573,21.86002257,4.139977427
20,12,9,32,18,18.2,8.899438185,27.09943818,9.300561815,,21,19,22,18,24,20.8,2.387467277,23.18746728,18.41253272,,12,25,0,9,19,13,9.565563235,22.56556323,3.434436765
20,12,9,32,18,18.2,8.899438185,27.09943818,9.300561815,,21,19,21,18,25,20.8,2.683281573,23.48328157,18.11671843,,13,25,0,10,19,13.4,9.449867724,22.84986772,3.950132276
21,12,9,31,18,18.2,8.584870413,26.78487041,9.615129587,,22,20,21,17,24,20.8,2.588435821,23.38843582,18.21156418,,13,25,0,9,19,13.2,9.549869109,22.74986911,3.650130891
21,12,9,32,18,18.4,8.961026727,27.36102673,9.438973273,,21,19,22,17,24,20.6,2.701851217,23.30185122,17.89814878,,13,24,0,9,19,13,9.246621004,22.246621,3.753378996
21,11,9,31,18,18,8.774964387,26.77496439,9.225035613,,22,19,22,17,24,20.8,2.774887385,23.57488739,18.02511261,,13,25,0,10,19,13.4,9.449867724,22.84986772,3.950132276
20,12,8,31,18,17.8,8.786353055,26.58635305,9.013646945,,21,19,21,16,24,20.2,2.949576241,23.14957624,17.25042376,,13,24,0,10,19,13.2,9.148770409,22.34877041,4.051229591
20,11,8,30,18,17.4,8.590692638,25.99069264,8.809307362,,22,19,21,16,23,20.2,2.774887385,22.97488739,17.42511261,,14,25,0,9,19,13.4,9.555103348,22.95510335,3.844896652
20,11,8,30,17,17.2,8.584870413,25.78487041,8.615129587,,22,20,21,15,23,20.2,3.1144823,23.3144823,17.0855177,,13,24,0,9,20,13.2,9.418067742,22.61806774,3.781932258
20,12,7,30,18,17.4,8.706319544,26.10631954,8.693680456,,22,20,21,16,23,20.4,2.701851217,23.10185122,17.69814878,,12,24,0,10,19,13,9.16515139,22.16515139,3.83484861
20,11,6,30,18,17,9.16515139,26.16515139,7.83484861,,21,20,21,16,23,20.2,2.588435821,22.78843582,17.61156418,,12,24,0,10,19,13,9.16515139,22.16515139,3.83484861
20,12,6,30,18,17.2,9.011104261,26.21110426,8.188895739,,21,20,22,16,23,20.4,2.701851217,23.10185122,17.69814878,,12,24,0,9,19,12.8,9.257429449,22.05742945,3.542570551
20,11,6,31,18,17.2,9.523654761,26.72365476,7.676345239,,22,19,22,16,22,20.2,2.683281573,22.88328157,17.51671843,,11,24,0,10,19,12.8,9.203260292,22.00326029,3.596739708
20,12,6,31,17,17.2,9.364827815,26.56482781,7.835172185,,22,20,22,15,23,20.4,3.209361307,23.60936131,17.19063869,,11,23,0,9,19,12.4,8.988882022,21.38888202,3.411117978
21,12,6,31,18,17.6,9.449867724,27.04986772,8.150132276,,22,19,22,15,23,20.2,3.271085447,23.47108545,16.92891455,,11,23,0,9,19,12.4,8.988882022,21.38888202,3.411117978
21,12,7,31,18,17.8,9.148770409,26.94877041,8.651229591,,22,19,22,15,23,20.2,3.271085447,23.47108545,16.92891455,,11,24,0,10,19,12.8,9.203260292,22.00326029,3.596739708
20,12,6,31,18,17.4,9.37016542,26.77016542,8.02983458,,22,18,21,15,22,19.6,3.049590136,22.64959014,16.55040986,,11,23,0,9,20,12.6,9.181503145,21.78150314,3.418496855
20,12,6,31,18,17.4,9.37016542,26.77016542,8.02983458,,22,18,21,14,22,19.4,3.435112807,22.83511281,15.96488719,,12,23,0,10,19,12.8,8.871302046,21.67130205,3.928697954
20,13,6,31,18,17.6,9.235799911,26.83579991,8.364200089,,21,18,21,15,21,19.2,2.683281573,21.88328157,16.51671843,,12,22,0,9,20,12.6,8.876936408,21.47693641,3.723063592
21,13,5,30,18,17.4,9.28977933,26.68977933,8.11022067,,21,18,21,15,21,19.2,2.683281573,21.88328157,16.51671843,,12,22,0,10,20,12.8,8.786353055,21.58635305,4.013646945
20,12,5,31,17,17,9.669539803,26.6695398,7.330460197,,21,18,22,14,20,19,3.16227766,22.16227766,15.83772234,,11,23,0,9,19,12.4,8.988882022,21.38888202,3.411117978
20,13,5,31,17,17.2,9.549869109,26.74986911,7.650130891,,20,17,21,14,20,18.4,2.880972058,21.28097206,15.51902794,,12,22,0,10,20,12.8,8.786353055,21.58635305,4.013646945
21,13,5,31,17,17.4,9.633275663,27.03327566,7.766724337,,21,17,21,15,21,19,2.828427125,21.82842712,16.17157288,,12,23,0,9,19,12.6,8.961026727,21.56102673,3.638973273
21,13,4,30,17,17,9.617692031,26.61769203,7.382307969,,20,18,21,14,20,18.6,2.792848009,21.39284801,15.80715199,,11,22,0,9,20,12.4,8.905054744,21.30505474,3.494945256
20,13,5,30,17,17,9.192388155,26.19238816,7.807611845,,20,18,21,14,20,18.6,2.792848009,21.39284801,15.80715199,,10,22,0,9,20,12.2,8.955445271,21.15544527,3.244554729
20,12,5,30,17,16.8,9.311283478,26.11128348,7.488716522,,20,17,22,15,19,18.6,2.701851217,21.30185122,15.89814878,,10,22,0,9,20,12.2,8.955445271,21.15544527,3.244554729
20,13,4,30,17,16.8,9.523654761,26.32365476,7.276345239,,20,17,21,15,19,18.4,2.408318916,20.80831892,15.99168108,,9,21,0,9,20,11.8,8.757853618,20.55785362,3.042146382
19,13,3,30,17,16.4,9.787747443,26.18774744,6.612252557,,20,17,21,14,19,18.2,2.774887385,20.97488739,15.42511261,,9,21,0,10,19,11.8,8.467585252,20.26758525,3.332414748
18,13,3,29,18,16.2,9.418067742,25.61806774,6.781932258,,20,17,22,14,19,18.4,3.049590136,21.44959014,15.35040986,,9,20,0,9,19,11.4,8.264381405,19.6643814,3.135618595
18,13,3,30,18,16.4,9.762171889,26.16217189,6.637828111,,20,16,21,14,19,18,2.915475947,20.91547595,15.08452405,,8,20,0,9,19,11.2,8.348652586,19.54865259,2.851347414
18,12,3,30,18,16.2,9.859006035,26.05900604,6.340993965,,20,16,21,14,18,17.8,2.863564213,20.66356421,14.93643579,,9,21,0,9,19,11.6,8.532291603,20.1322916,3.067708397
17,12,3,30,18,16,9.823441352,25.82344135,6.176558648,,21,16,22,14,18,18.2,3.346640106,21.54664011,14.85335989,,9,21,0,8,19,11.4,8.619744776,20.01974478,2.780255224
17,11,3,30,18,15.8,9.934787366,25.73478737,5.865212634,,20,15,21,14,18,17.6,3.049590136,20.64959014,14.55040986,,8,20,0,8,19,11,8.426149773,19.42614977,2.573850227
17,11,3,29,18,15.6,9.581231654,25.18123165,6.018768346,,20,15,21,14,18,17.6,3.049590136,20.64959014,14.55040986,,7,20,0,8,19,10.8,8.526429499,19.3264295,2.273570501
17,11,3,30,18,15.8,9.934787366,25.73478737,5.865212634,,20,14,21,14,18,17.4,3.286335345,20.68633535,14.11366465,,7,19,0,7,19,10.4,8.35463943,18.75463943,2.04536057
17,11,3,30,18,15.8,9.934787366,25.73478737,5.865212634,,20,15,21,14,18,17.6,3.049590136,20.64959014,14.55040986,,7,19,0,8,19,10.6,8.264381405,18.8643814,2.335618595
17,10,3,30,18,15.6,10.06479011,25.66479011,5.535209888,,20,15,21,14,18,17.6,3.049590136,20.64959014,14.55040986,,7,19,0,7,19,10.4,8.35463943,18.75463943,2.04536057
17,11,3,30,18,15.8,9.934787366,25.73478737,5.865212634,,20,14,22,14,18,17.6,3.577708764,21.17770876,14.02229124,,7,18,0,8,19,10.4,8.018728079,18.41872808,2.381271921
17,10,3,30,18,15.6,10.06479011,25.66479011,5.535209888,,19,15,21,14,18,17.4,2.880972058,20.28097206,14.51902794,,6,19,0,7,19,10.2,8.467585252,18.66758525,1.732414748
17,11,3,30,18,15.8,9.934787366,25.73478737,5.865212634,,19,14,21,12,18,16.8,3.701351105,20.5013511,13.0986489,,6,18,0,7,19,10,8.215838363,18.21583836,1.784161637
17,10,3,30,18,15.6,10.06479011,25.66479011,5.535209888,,18,15,21,12,18,16.8,3.420526275,20.22052628,13.37947372,,5,18,0,7,19,9.8,8.348652586,18.14865259,1.451347414
17,9,3,29,18,15.2,9.859006035,25.05900604,5.340993965,,18,14,21,12,18,16.6,3.577708764,20.17770876,13.02229124,,4,17,0,7,19,9.4,8.264381405,17.6643814,1.135618595
15,9,3,30,18,15,10.17349497,25.17349497,4.826505025,,18,15,21,12,18,16.8,3.420526275,20.22052628,13.37947372,,4,18,0,7,19,9.6,8.502940668,18.10294067,1.097059332
16,9,3,30,18,15.2,10.18331969,25.38331969,5.016680306,,19,15,21,12,18,17,3.535533906,20.53553391,13.46446609,,4,17,0,6,19,9.2,8.348652586,17.54865259,0.851347414
16,9,3,29,18,15,9.823441352,24.82344135,5.176558648,,19,15,21,12,18,17,3.535533906,20.53553391,13.46446609,,4,18,0,7,19,9.6,8.502940668,18.10294067,1.097059332
16,9,3,29,18,15,9.823441352,24.82344135,5.176558648,,19,15,21,12,18,17,3.535533906,20.53553391,13.46446609,,4,17,0,6,19,9.2,8.348652586,17.54865259,0.851347414
15,9,3,29,18,14.8,9.808159868,24.60815987,4.991840132,,18,15,21,12,18,16.8,3.420526275,20.22052628,13.37947372,,4,17,0,6,19,9.2,8.348652586,17.54865259,0.851347414
16,9,3,29,17,14.8,9.757048734,24.55704873,5.042951266,,19,14,21,12,18,16.8,3.701351105,20.5013511,13.0986489,,4,18,0,6,19,9.4,8.590692638,17.99069264,0.809307362
15,9,3,29,17,14.6,9.736529156,24.33652916,4.863470844,,19,14,21,12,18,16.8,3.701351105,20.5013511,13.0986489,,4,18,0,6,19,9.4,8.590692638,17.99069264,0.809307362
15,9,3,29,16,14.4,9.68504001,24.08504001,4.71495999,,18,14,21,12,18,16.6,3.577708764,20.17770876,13.02229124,,4,17,0,6,19,9.2,8.348652586,17.54865259,0.851347414
16,9,3,29,16,14.6,9.710818709,24.31081871,4.889181291,,18,14,21,12,18,16.6,3.577708764,20.17770876,13.02229124,,4,17,0,6,19,9.2,8.348652586,17.54865259,0.851347414
15,9,3,29,16,14.4,9.68504001,24.08504001,4.71495999,,19,14,21,12,18,16.8,3.701351105,20.5013511,13.0986489,,4,16,0,5,19,8.8,8.228000972,17.02800097,0.571999028
15,9,3,28,16,14.2,9.311283478,23.51128348,4.888716522,,19,14,21,11,18,16.6,4.037325848,20.63732585,12.56267415,,4,16,0,5,19,8.8,8.228000972,17.02800097,0.571999028
15,9,3,28,15,14,9.273618495,23.2736185,4.726381505,,19,14,21,11,18,16.6,4.037325848,20.63732585,12.56267415,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057
15,9,3,28,15,14,9.273618495,23.2736185,4.726381505,,19,14,21,11,18,16.6,4.037325848,20.63732585,12.56267415,,4,16,0,5,19,8.8,8.228000972,17.02800097,0.571999028
14,9,3,28,15,13.8,9.257429449,23.05742945,4.542570551,,18,14,21,11,18,16.4,3.911521443,20.31152144,12.48847856,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057
15,9,3,28,14,13.8,9.257429449,23.05742945,4.542570551,,18,14,21,11,18,16.4,3.911521443,20.31152144,12.48847856,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057
14,9,3,28,15,13.8,9.257429449,23.05742945,4.542570551,,18,14,21,9,18,16,4.636809248,20.63680925,11.36319075,,4,16,0,5,19,8.8,8.228000972,17.02800097,0.571999028
15,9,3,28,14,13.8,9.257429449,23.05742945,4.542570551,,18,13,21,9,18,15.8,4.7644517,20.5644517,11.0355483,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057
14,9,3,28,14,13.6,9.235799911,22.83579991,4.364200089,,18,13,21,9,18,15.8,4.7644517,20.5644517,11.0355483,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057
14,9,3,28,14,13.6,9.235799911,22.83579991,4.364200089,,19,13,21,9,18,16,4.898979486,20.89897949,11.10102051,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057
14,9,3,28,14,13.6,9.235799911,22.83579991,4.364200089,,19,13,21,9,18,16,4.898979486,20.89897949,11.10102051,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057
14,9,3,28,15,13.8,9.257429449,23.05742945,4.542570551,,19,13,21,8,18,15.8,5.263078947,21.06307895,10.53692105,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057
14,9,3,28,14,13.6,9.235799911,22.83579991,4.364200089,,19,13,21,9,18,16,4.898979486,20.89897949,11.10102051,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057
15,9,3,27,14,13.6,8.876936408,22.47693641,4.723063592,,19,13,21,8,18,15.8,5.263078947,21.06307895,10.53692105,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668
14,9,3,27,14,13.4,8.848728722,22.24872872,4.551271278,,19,12,21,8,18,15.6,5.412947441,21.01294744,10.18705256,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668
14,9,3,27,14,13.4,8.848728722,22.24872872,4.551271278,,18,12,21,9,18,15.6,4.929503018,20.52950302,10.67049698,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668
14,9,3,27,12,13,8.860022573,21.86002257,4.139977427,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668
15,9,3,27,12,13.2,8.899438185,22.09943818,4.300561815,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,4,16,0,4,19,8.6,8.35463943,16.95463943,0.24536057
14,9,3,27,12,13,8.860022573,21.86002257,4.139977427,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668
15,9,3,27,12,13.2,8.899438185,22.09943818,4.300561815,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668
14,9,3,27,12,13,8.860022573,21.86002257,4.139977427,,18,12,21,9,18,15.6,4.929503018,20.52950302,10.67049698,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668
15,9,3,27,11,13,8.94427191,21.94427191,4.05572809,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668
14,9,3,27,11,12.8,8.899438185,21.69943818,3.900561815,,18,12,21,9,18,15.6,4.929503018,20.52950302,10.67049698,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355
15,9,3,27,11,13,8.94427191,21.94427191,4.05572809,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355
14,9,3,27,11,12.8,8.899438185,21.69943818,3.900561815,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355
14,9,3,27,10,12.6,8.961026727,21.56102673,3.638973273,,18,12,21,8,18,15.4,5.272570531,20.67257053,10.12742947,,4,16,0,3,19,8.4,8.502940668,16.90294067,-0.102940668
15,9,3,27,10,12.8,9.011104261,21.81110426,3.788895739,,17,12,21,8,18,15.2,5.167204273,20.36720427,10.03279573,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355
14,9,3,27,10,12.6,8.961026727,21.56102673,3.638973273,,17,12,21,8,18,15.2,5.167204273,20.36720427,10.03279573,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355
15,9,3,27,10,12.8,9.011104261,21.81110426,3.788895739,,16,12,21,8,18,15,5.099019514,20.09901951,9.900980486,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355
14,9,3,27,9,12.4,9.044335244,21.44433524,3.355664756,,16,12,21,7,18,14.8,5.449770637,20.24977064,9.350229363,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355
14,9,3,27,9,12.4,9.044335244,21.44433524,3.355664756,,15,12,21,8,18,14.8,5.069516742,19.86951674,9.730483258,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355
15,9,3,27,9,12.6,9.099450533,21.69945053,3.500549467,,15,12,21,8,18,14.8,5.069516742,19.86951674,9.730483258,,4,16,0,2,19,8.2,8.671793355,16.87179336,-0.471793355
14,9,3,27,8,12.2,9.148770409,21.34877041,3.051229591,,15,12,21,8,18,14.8,5.069516742,19.86951674,9.730483258,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
14,9,3,27,8,12.2,9.148770409,21.34877041,3.051229591,,14,12,21,7,18,14.4,5.412947441,19.81294744,8.987052559,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
15,9,3,27,8,12.4,9.208691547,21.60869155,3.191308453,,14,12,21,6,18,14.2,5.761944116,19.96194412,8.438055884,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
14,9,3,27,8,12.2,9.148770409,21.34877041,3.051229591,,14,11,21,6,18,14,5.873670062,19.87367006,8.126329938,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
14,9,3,27,6,11.8,9.418067742,21.21806774,2.381932258,,13,11,21,6,18,13.8,5.89067059,19.69067059,7.90932941,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
14,9,3,27,6,11.8,9.418067742,21.21806774,2.381932258,,13,11,21,5,18,13.6,6.228964601,19.8289646,7.371035399,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
14,9,3,27,6,11.8,9.418067742,21.21806774,2.381932258,,13,11,21,5,18,13.6,6.228964601,19.8289646,7.371035399,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
14,9,3,27,6,11.8,9.418067742,21.21806774,2.381932258,,13,11,21,5,18,13.6,6.228964601,19.8289646,7.371035399,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
14,9,3,27,5,11.6,9.581231654,21.18123165,2.018768346,,12,11,21,5,18,13.4,6.268971207,19.66897121,7.131028793,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
14,9,3,27,5,11.6,9.581231654,21.18123165,2.018768346,,12,11,21,4,18,13.2,6.610597552,19.81059755,6.589402448,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
14,9,3,27,5,11.6,9.581231654,21.18123165,2.018768346,,12,11,21,5,18,13.4,6.268971207,19.66897121,7.131028793,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
13,9,3,27,4,11.2,9.705668447,20.90566845,1.494331553,,12,11,21,5,18,13.4,6.268971207,19.66897121,7.131028793,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
13,9,3,27,4,11.2,9.705668447,20.90566845,1.494331553,,12,11,21,5,18,13.4,6.268971207,19.66897121,7.131028793,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
13,9,3,27,4,11.2,9.705668447,20.90566845,1.494331553,,11,11,21,4,18,13,6.670832032,19.67083203,6.329167968,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
13,9,3,27,3,11,9.899494937,20.89949494,1.100505063,,11,11,21,5,18,13.2,6.340346994,19.54034699,6.859653006,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
13,9,3,27,3,11,9.899494937,20.89949494,1.100505063,,11,11,21,5,18,13.2,6.340346994,19.54034699,6.859653006,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
13,9,3,27,3,11,9.899494937,20.89949494,1.100505063,,11,11,21,5,18,13.2,6.340346994,19.54034699,6.859653006,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
13,9,3,27,3,11,9.899494937,20.89949494,1.100505063,,10,10,21,4,18,12.6,6.841052551,19.44105255,5.758947449,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
13,9,3,27,3,11,9.899494937,20.89949494,1.100505063,,10,10,21,4,18,12.6,6.841052551,19.44105255,5.758947449,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
13,9,3,27,3,11,9.899494937,20.89949494,1.100505063,,10,10,21,5,18,12.8,6.534523701,19.3345237,6.265476299,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
12,9,3,27,3,10.8,9.859006035,20.65900604,0.940993965,,10,9,21,5,18,12.6,6.655824517,19.25582452,5.944175483,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
12,9,3,27,3,10.8,9.859006035,20.65900604,0.940993965,,10,9,21,4,18,12.4,6.949820142,19.34982014,5.450179858,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
12,9,3,27,3,10.8,9.859006035,20.65900604,0.940993965,,10,8,21,4,18,12.2,7.085195834,19.28519583,5.114804166,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
11,9,3,27,3,10.6,9.838699101,20.4386991,0.761300899,,10,8,21,4,18,12.2,7.085195834,19.28519583,5.114804166,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
10,9,3,27,3,10.4,9.838699101,20.2386991,0.561300899,,10,8,21,3,18,12,7.38241153,19.38241153,4.61758847,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
10,9,3,27,3,10.4,9.838699101,20.2386991,0.561300899,,10,9,21,3,18,12.2,7.259476565,19.45947657,4.940523435,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
10,9,3,27,3,10.4,9.838699101,20.2386991,0.561300899,,10,8,21,3,18,12,7.38241153,19.38241153,4.61758847,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
10,9,3,27,3,10.4,9.838699101,20.2386991,0.561300899,,10,8,21,3,18,12,7.38241153,19.38241153,4.61758847,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,9,9,21,3,18,12,7.348469228,19.34846923,4.651530772,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,9,8,21,3,18,11.8,7.463243263,19.26324326,4.336756737,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,9,9,21,3,18,12,7.348469228,19.34846923,4.651530772,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,9,8,21,3,18,11.8,7.463243263,19.26324326,4.336756737,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,9,8,21,3,18,11.8,7.463243263,19.26324326,4.336756737,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,9,8,21,3,18,11.8,7.463243263,19.26324326,4.336756737,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,8,8,21,3,18,11.6,7.569676347,19.16967635,4.030323653,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,8,9,21,3,18,11.8,7.463243263,19.26324326,4.336756737,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,8,8,21,3,18,11.6,7.569676347,19.16967635,4.030323653,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
10,9,3,27,3,10.4,9.838699101,20.2386991,0.561300899,,8,8,21,3,18,11.6,7.569676347,19.16967635,4.030323653,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
10,9,3,27,3,10.4,9.838699101,20.2386991,0.561300899,,9,8,21,3,18,11.8,7.463243263,19.26324326,4.336756737,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,8,9,21,3,18,11.8,7.463243263,19.26324326,4.336756737,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,8,9,21,3,18,11.8,7.463243263,19.26324326,4.336756737,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
9,9,3,27,3,10.2,9.859006035,20.05900604,0.340993965,,8,8,21,3,18,11.6,7.569676347,19.16967635,4.030323653,,4,16,0,0,19,7.8,9.066421565,16.86642157,-1.266421565
