,,,Vanilla Location-1,,,,,,,,,,Vanilla Location-2,,,,,,,,,Vanilla Location-3,,,,,,
,,,,,Mean,Std,Upper ,Lower,,,,,,,Mean,Std,Upper ,Lower,,,,,,,Mean,Std,Upper ,Lower
26,19,18,34,21,23.6,6.580273551,30.18027355,17.01972645,,19,19,21,23,21,20.6,1.673320053,22.27332005,18.92667995,,18,22,18,15,20,18.6,2.607680962,21.20768096,15.99231904
26,18,17,33,20,22.8,6.68580586,29.48580586,16.11419414,,19,19,21,23,22,20.8,1.788854382,22.58885438,19.01114562,,17,23,19,15,20,18.8,3.033150178,21.83315018,15.76684982
27,18,18,33,21,23.4,6.503845017,29.90384502,16.89615498,,19,20,22,23,22,21.2,1.643167673,22.84316767,19.55683233,,16,22,18,14,19,17.8,3.033150178,20.83315018,14.76684982
27,18,18,34,21,23.6,6.877499546,30.47749955,16.72250045,,18,21,21,24,22,21.2,2.167948339,23.36794834,19.03205166,,16,21,17,14,20,17.6,2.880972058,20.48097206,14.71902794
26,19,17,34,20,23.2,6.90651866,30.10651866,16.29348134,,19,21,21,24,21,21.2,1.788854382,22.98885438,19.41114562,,15,21,15,13,19,16.6,3.286335345,19.88633535,13.31366465
27,19,15,35,20,23.2,7.886697661,31.08669766,15.31330234,,19,21,21,24,22,21.4,1.816590212,23.21659021,19.58340979,,16,21,15,14,20,17.2,3.1144823,20.3144823,14.0855177
26,19,15,34,20,22.8,7.395944835,30.19594483,15.40405517,,18,22,21,23,22,21.2,1.923538406,23.12353841,19.27646159,,15,21,12,14,19,16.2,3.701351105,19.9013511,12.4986489
26,19,14,33,21,22.6,7.231873893,29.83187389,15.36812611,,18,21,22,21,24,21.2,2.167948339,23.36794834,19.03205166,,16,22,11,14,21,16.8,4.65832588,21.45832588,12.14167412
27,18,14,34,20,22.6,7.924645102,30.5246451,14.6753549,,19,20,22,21,24,21.2,1.923538406,23.12353841,19.27646159,,15,22,10,15,21,16.6,4.929503018,21.52950302,11.67049698
27,18,11,34,21,22.2,8.757853618,30.95785362,13.44214638,,19,20,24,22,24,21.8,2.28035085,24.08035085,19.51964915,,15,21,11,16,20,16.6,4.037325848,20.63732585,12.56267415
28,19,11,34,21,22.6,8.792041856,31.39204186,13.80795814,,19,20,24,22,25,22,2.549509757,24.54950976,19.45049024,,15,21,11,15,20,16.4,4.098780306,20.49878031,12.30121969
27,19,12,33,20,22.2,8.043631021,30.24363102,14.15636898,,18,19,23,24,25,21.8,3.1144823,24.9144823,18.6855177,,15,21,11,15,21,16.6,4.335896678,20.93589668,12.26410332
28,19,12,33,21,22.6,8.142481194,30.74248119,14.45751881,,18,19,23,24,25,21.8,3.1144823,24.9144823,18.6855177,,16,20,10,15,21,16.4,4.393176527,20.79317653,12.00682347
29,18,12,33,21,22.6,8.443932733,31.04393273,14.15606727,,17,18,23,25,25,21.6,3.847076812,25.44707681,17.75292319,,16,21,9,15,21,16.4,4.979959839,21.37995984,11.42004016
30,17,11,34,20,22.4,9.449867724,31.84986772,12.95013228,,17,18,23,25,24,21.4,3.646916506,25.04691651,17.75308349,,15,20,9,13,20,15.4,4.722287581,20.12228758,10.67771242
30,17,11,34,20,22.4,9.449867724,31.84986772,12.95013228,,18,18,24,24,24,21.6,3.286335345,24.88633535,18.31366465,,15,22,9,13,21,16,5.477225575,21.47722558,10.52277442
31,16,11,33,20,22.2,9.523654761,31.72365476,12.67634524,,18,19,23,24,25,21.8,3.1144823,24.9144823,18.6855177,,15,22,10,13,21,16.2,5.167204273,21.36720427,11.03279573
30,15,10,34,21,22,10.02496883,32.02496883,11.97503117,,19,18,24,24,25,22,3.240370349,25.24037035,18.75962965,,16,23,10,12,21,16.4,5.594640292,21.99464029,10.80535971
30,15,11,34,20,22,9.772410143,31.77241014,12.22758986,,21,18,23,25,25,22.4,2.966479395,25.36647939,19.43352061,,15,23,9,12,20,15.8,5.718391382,21.51839138,10.08160862
30,15,11,33,20,21.8,9.471008394,31.27100839,12.32899161,,21,18,23,25,26,22.6,3.209361307,25.80936131,19.39063869,,15,22,10,13,20,16,4.949747468,20.94974747,11.05025253
