19,19,19
18.05,17.826,18.274
16.2,15.584,16.816
15.25,14.34,16.16
13.45,11.845,15.055
10.9,8.1299,13.67
10.65,7.9692,13.331
10.3,6.9267,13.673
9.95,6.5553,13.345
9.15,5.5771,12.723
8.75,5.0384,12.462
7.75,3.3267,12.173
8.15,3.2588,13.041
8.55,3.5397,13.56
8.95,4.1435,13.757
8.75,4.3745,13.125
8.65,4.6993,12.601
8.7,5.4702,11.93
9.1,4.8093,13.391
8.9,3.97,13.83
8.75,3.8416,13.658
8.65,3.6418,13.658
8.8,3.4531,14.147
8.95,3.2609,14.639
9.3,3.4953,15.105
9.35,3.5437,15.156
9.65,3.9906,15.309
9.9,3.9982,15.802
10.35,4.3388,16.361
10.4,4.2922,16.508
10.4,4.5384,16.262
10.5,4.2634,16.737
10.45,4.1465,16.754
10.6,4.1649,17.035
10.8,4.1067,17.493
10.8,3.8824,17.718
10.9,3.7262,18.074
10.95,3.6196,18.28
10.7,3.1599,18.24
10.75,2.7574,18.743
11.35,3.0765,19.623
11.4,3.2089,19.591
11.05,2.9229,19.177
10.6,2.3512,18.849
10.2,1.9372,18.463
10.15,1.6754,18.625
9.85,1.3879,18.312
9.75,1.2037,18.296
9.75,0.89518,18.605
10.05,1.2035,18.896
10.1,0.92394,19.276
10.15,0.96606,19.334
10.1,0.87247,19.328
10.25,1.0169,19.483
10.1,0.65264,19.547
10.2,0.46347,19.937
9.95,0.33381,19.566
9.85,0.13688,19.563
9.9,0.20518,19.595
10.1,0.24366,19.956
10.2,0.47429,19.926
10.25,0.15636,20.344
9.8,0.047268,19.553
9.8,-0.070744,19.671
9.75,-0.1062,19.606
9.75,-0.17538,19.675
9.6,-0.27501,19.475
9.45,-0.52616,19.426
9.2,-0.81367,19.214
9,-0.96837,18.968
9.05,-1.0259,19.126
9.25,-1.0603,19.56
9.25,-1.0348,19.535
9.2,-1.0885,19.488
9.4,-0.913,19.713
9.1,-1.2155,19.416
9.1,-1.2053,19.405
9,-1.2598,19.26
9.1,-1.113,19.313
9.05,-1.1505,19.25
9.05,-1.1091,19.209
9.15,-1.1009,19.401
9.15,-1.1009,19.401
9,-1.2392,19.239
9.05,-1.3346,19.435
9.05,-1.1247,19.225
9.05,-1.135,19.235
9,-1.372,19.372
9.1,-1.3322,19.532
9.15,-1.4542,19.754
9.1,-1.4227,19.623
9.25,-1.3423,19.842
9.35,-1.2542,19.954
9.45,-1.2097,20.11
9.45,-1.1304,20.03
9.55,-1.2714,20.371
9.55,-1.2275,20.328
9.6,-1.2356,20.436
9.65,-1.2576,20.558
9.75,-1.3565,20.857
9.8,-1.2053,20.805
9.7,-1.1971,20.597
9.75,-1.1702,20.67
9.8,-1.1717,20.772
9.9,-1.1163,20.916
9.65,-1.2769,20.577
9.6,-1.3708,20.571
9.45,-1.4344,20.334
9.45,-1.4344,20.334
9.5,-1.4665,20.466
9.55,-1.5024,20.602
9.55,-1.583,20.683
9.65,-1.4584,20.758
9.55,-1.6019,20.702
9.5,-1.562,20.562
9.55,-1.4594,20.559
9.55,-1.4833,20.583
9.4,-1.5708,20.371
9.5,-1.5334,20.533
9.4,-1.4889,20.289
9.5,-1.5668,20.567
9.55,-1.6302,20.73
9.5,-1.9225,20.923
9.5,-1.8067,20.807
9.35,-1.8997,20.6
9.45,-1.7584,20.658
9.45,-1.7396,20.64
9.3,-2.0884,20.688
9.3,-2.0884,20.688
9.35,-2.0484,20.748
9.35,-2.0899,20.79
9.3,-2.4433,21.043
9.25,-2.4923,20.992
9.25,-2.4744,20.974
9.1,-2.5162,20.716
9.2,-2.4736,20.874
9.15,-2.4453,20.745
9.35,-2.3312,21.031
9.25,-2.3978,20.898
9.25,-2.5326,21.033
9.3,-2.3081,20.908
9.3,-2.5415,21.141
9.3,-2.4478,21.048
9.4,-2.4072,21.207
9.4,-2.4562,21.256
10.75,-2.6581,24.158
10.6,-2.7826,23.983
10.7,-2.6854,24.085
10.7,-2.7207,24.121
10.75,-2.7792,24.279
10.85,-2.7506,24.451
10.85,-2.7661,24.466
11,-2.8564,24.856
10.95,-2.8435,24.743
11.05,-2.774,24.874
11.05,-2.6938,24.794
11.1,-2.5417,24.742
11,-2.7305,24.73
11.05,-2.6631,24.763
11,-2.7228,24.723
11.05,-2.6976,24.798
11,-2.7113,24.711
11,-2.6343,24.634
10.95,-2.5387,24.439
11.1,-2.5455,24.746
11.2,-2.4057,24.806
11.1,-2.3513,24.551
11.05,-2.4231,24.523
11,-2.3653,24.365
10.85,-2.33,24.03
10.9,-2.2385,24.039
10.8,-2.3133,23.913
10.95,-2.2587,24.159
10.8,-2.2206,23.821
10.65,-2.4379,23.738
10.6,-2.4803,23.68
10.75,-2.3363,23.836
10.6,-2.4198,23.62
10.7,-2.3227,23.723
10.65,-2.3936,23.694
10.65,-2.3814,23.681
10.5,-2.4106,23.411
10.5,-2.296,23.296
10.6,-2.3102,23.51
10.45,-2.3664,23.266
10.55,-2.3809,23.481
10.65,-2.3045,23.604
10.5,-2.3821,23.382
10.5,-2.4065,23.407
10.5,-2.5323,23.532
10.55,-2.5748,23.675
10.5,-2.5162,23.516
