23,21,18,15,14,11,8,5,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
23,21,18,15,14,11,8,5,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
23,21,18,15,14,11,8,5,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
20,18,15,12,11,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20,18,15,12,11,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21,18,15,14,11,8,5,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
23,21,18,15,14,11,8,5,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
23,21,18,15,14,11,8,5,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Time,Mean,Std,,,,,Mean,Std,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,23,20,20,1,21.8,1.643167673,,23,23,23,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,21,18,18,2,19.8,1.643167673,,21,21,21,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,18,15,15,3,16.8,1.643167673,,18,18,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,12,12,4,13.8,1.643167673,,15,15,15,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,14,11,11,5,12.8,1.643167673,,14,14,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
